t,distance,v_raw,a_raw,dt,velocity_raw,acceleration_raw,distance_f,velocity_f,acceleration_f
10.615,16,0.0,267.0279827788165,0.06099999999999994,0.0,264.4103648863064,16.428571428571427,-2.341920374707312,-0.6192280208116298
10.675,17,16.616962018295556,276.1234267174772,0.0600000000000005,16.66666666666653,277.77777777777317,16.142857142857142,-4.761904761904706,-40.33307311995623
10.735,16,-16.567406365783715,-549.7789160109068,0.05999999999999872,-16.666666666667023,-555.5555555555711,15.857142857142858,-4.761904761904846,-2.338869838543713e-12
10.795,16,0.0,275.39379288470064,0.0600000000000005,0.0,277.7777777777814,15.571428571428571,-4.761904761904735,1.850371707708579e-12
10.858,15,-15.9606682141634,-254.7429298426059,0.06300000000000061,-15.873015873015719,-251.95263290500895,15.285714285714286,-4.535147392290189,3.5993233272149836
10.918,15,0.0,264.6422143158539,0.05999999999999872,0.0,264.5502645502676,14.857142857142858,-7.1428571428573,-43.46182917611944
10.987,14,-14.52618090260822,-211.00993161529976,0.06900000000000084,-14.49275362318823,-210.03990758243557,14.428571428571429,-6.211180124223531,13.50256548744576
11.06,14,0.0,199.3502536229653,0.0730000000000004,0.0,198.53087155052262,13.857142857142858,-7.827788649706412,-22.145322266888666
11.122,14,0.0,0.0,0.06199999999999939,0.0,0.0,13.428571428571429,-6.912442396313437,14.763649248273943
11.183,13,-16.360928534371453,-267.67998250681,0.06099999999999994,-16.393442622950836,-268.7449610319812,13.0,-7.02576112412179,-1.857684062432028
11.245,12,-16.145848731214585,3.4726459669102057,0.06199999999999939,-16.129032258064676,4.264683304615529,12.571428571428571,-6.912442396313437,1.827721416263786
11.306,12,0.0,264.8232360266239,0.06099999999999994,0.0,264.4103648863064,12.142857142857142,-7.02576112412179,-1.857684062432028
11.367,12,0.0,0.0,0.06100000000000172,0.0,0.0,11.571428571428571,-9.367681498828771,-38.3921372902773
11.428,11,-16.299256599476937,-265.6657656955925,0.06099999999999994,-16.393442622950836,-268.7449610319812,11.142857142857142,-7.02576112412179,38.39213729027841
11.49,11,0.0,265.7556139393436,0.06199999999999939,0.0,264.4103648863064,10.857142857142858,-4.608294930875605,38.991390213648536
11.551,10,-16.20642568729352,-262.6482335577673,0.06099999999999994,-16.393442622950836,-268.7449610319812,10.428571428571429,-7.02576112412179,-39.63059333190471
11.611,10,0.0,272.9380524473915,0.0600000000000005,0.0,273.224043715845,10.0,-7.142857142857088,-1.951600312254948
11.67,10,0.0,0.0,0.058999999999999275,0.0,0.0,9.714285714285714,-4.84261501210661,38.98715475848316
11.732,9,-16.30445210671373,-265.83515850012174,0.06199999999999939,-16.129032258064676,-260.1456815816909,9.285714285714286,-6.912442396313407,-33.38431264849706
11.793,9,0.0,266.96112134803417,0.06099999999999994,0.0,264.4103648863064,8.857142857142858,-7.02576112412179,-1.8576840624325086
11.853,9,0.0,0.0,0.0600000000000005,0.0,0.0,8.428571428571429,-7.142857142857088,-1.951600312254948
11.912,8,-16.809557588800853,-282.5612263312124,0.05900000000000105,-16.94915254237258,-287.2737719046149,8.0,-7.263922518159681,-2.051955513603238
11.973,7,-16.402581048844393,6.675465681614098,0.06099999999999994,-16.393442622950836,9.109998679044997,7.714285714285714,-4.683840749414522,42.29642243844527
12.034,7,0.0,269.07202368350084,0.06099999999999994,0.0,268.7449610319812,7.285714285714286,-7.02576112412179,-38.39213729028312
12.104,7,0.0,0.0,0.06999999999999851,0.0,0.0,6.857142857142857,-6.1224489795919705,12.90445920756913
12.164,7,0.0,0.0,0.0600000000000005,0.0,0.0,6.428571428571429,-7.142857142857073,-17.006802721084902
12.229,6,-15.421312518153842,-237.8168797825684,0.0649999999999995,-15.384615384615502,-236.686390532548,6.285714285714286,-2.1978021978022206,76.07776838545986
12.289,6,0.0,255.5083084671191,0.0600000000000005,0.0,256.41025641025624,6.142857142857143,-2.380952380952353,-3.05250305250218
12.349,5,-16.638649328393143,-276.84465147323755,0.0600000000000005,-16.66666666666653,-277.77777777777317,6.0,-2.3809523809523676,-2.442490654175324e-13
